ID,Positions
Q9NZN8,T155
Q9NZN8,S169
O75030,S101
O75030,T104
O75030,T105
O75030,T121
Q63HK5,S1010
Q63HK5,T1011
P56645,S1012
Q96RT1,S1013
Q96RT1,T1070
Q5T2S8,S1015
Q14145,S102
Q14145,S103
Q14145,S104
Q14145,S166
Q14145,T388
Q14145,S390
Q14145,S391
Q14145,T400
Q14145,S404
Q14145,S410
Q14145,S533
Q01518,S102
Q01518,S424
Q01518,T459
P08240,S102
P08240,T377
Q9ULB1,S1024
O75362,S1025
Q99728,S103
O00584,S103
Q8WXU2,S103
Q8NGJ8,S103
Q8NGJ8,S116
Q8NGJ8,S120
Q8WUM4,S103
Q8WUM4,S575
Q8WUM4,T738
Q14119,S103
Q14119,T108
Q14119,T110
Q14119,T111
Q14119,S117
Q14119,T118
Q14119,S123
Q14119,S124
Q14119,T126
Q14119,S127
Q14119,S137
Q14119,T138
Q14119,T141
Q14119,S142
Q14119,S143
Q14119,S144
Q14119,T146
Q14119,S149
Q14119,S150
Q14119,T154
Q14119,T160
Q14119,T393
Q14119,T396
Q15415,S104
Q14781,S104
P62249,S104
Q9UHD9,S104
Q9UHD9,S112
Q9UHD9,T113
Q9UHD9,S116
Q9UHD9,T121
Q9UHD9,T123
Q9UHD9,T124
Q9UHD9,S125
Q9UHD9,S127
Q9UHD9,T128
Q9UHD9,T508
Q9UHD9,T519
Q9UHD9,S527
Q9UHD9,T528
Q9UHD9,S530
Q9UHD9,S539
Q9UHD9,T546
Q9UHD9,T550
Q9UHD9,S551
Q9UHD9,S553
Q8NGB8,S104
Q8NGB8,S137
P31943,S104
P31943,T152
P31943,S269
P31943,T301
P31943,S310
P31943,S363
O60477,S104
O60477,T627
Q86UK0,S1041
Q9ULG1,S1043
Q9ULG1,S1250
P08648,S1047
Q9P2D1,S1049
Q9P2D1,S1441
Q9P2D1,T1449
Q9P2D1,S1456
Q9P2D1,S2010
Q9P2D1,S2475
Q14232,S105
Q6IQ16,S105
P63241,S105
P78524,S105
P78524,S107
P16112,S105
P16112,S1591
P16112,S1599
P16112,S1601
P78536,S105
P78536,T108
P78536,T265
O95677,S105
O95677,T112
O95677,T119
O95677,T121
O95677,S127
P41594,S1050
P41594,S1051
Q9NQT8,S1053
Q14126,S1055
Q14126,T1056
Q14126,S1059
Q14126,S1060
Q14126,T1065
Q14126,T1108
Q9ULE4,S106
Q8N9W8,S106
P13688,S106
Q8N7X4,S106
Q8N7X4,S120
Q14938,S106
Q14938,T272
Q7Z2Y8,S1064
Q7Z2Y8,T1859
Q7Z2Y8,T2007
Q5TZA2,S1065
Q5TZA2,S1892
O75094,S1067
P34820,S107
Q9ULC5,S107
Q9H6Q4,S107
P25398,S107
Q8N4F7,S107
O14647,S1075
O14647,S1076
Q5VV42,S108
Q5T7P6,S108
P35030,S108
P35030,S111
Q9NSP4,S108
Q9NSP4,S111
O00151,S108
O00151,S123
O00151,T128
O00151,S130
O00151,S133
O00151,S134
O00151,T135
O00151,T136
O00151,T325
Q96IZ0,S108
Q96IZ0,S233
Q96IZ0,S238
O75949,S108
O75949,T113
Q9H0E3,S108
Q9H0E3,T122
Q9H0E3,T129
Q9H0E3,S300
Q9H0E3,T304
Q9H0E3,T305
Q9H0E3,T306
Q9H0E3,T311
Q9H0E3,S313
Q9H0E3,T319
Q9H0E3,S321
Q9H0E3,S327
Q9H0E3,S331
Q9H0E3,T346
Q9H0E3,S349
Q9H0E3,T355
Q9H0E3,S454
Q9H0E3,S460
Q9H0E3,S480
Q9H0E3,T491
Q9H0E3,S495
Q9H0E3,T503
Q9H0E3,T505
Q9H0E3,T508
Q9H0E3,S509
Q9H0E3,S510
Q9H0E3,S512
Q9H0E3,T513
Q9H0E3,S635
Q9H0E3,S639
Q9H0E3,T646
Q9H0E3,T657
Q1MSJ5,S1087
Q1MSJ5,S1091
Q9Y2Q0,S1087
Q9Y2Q0,T1089
Q86WI3,S1090
Q6ZMW3,S1091
Q6ZMW3,T1557
P02462,S1095
Q9C0D2,S1099
Q9C0D2,S1593
Q9C0D2,S1616
Q9C0D2,S1829
Q9C0D2,T2128
P84243,S11
Q14624,S11
Q8TBZ9,S11
P68431,S11
P68431,S29
P68431,T33
P68431,T46
P21333,S11
P21333,S972
P21333,S1055
P21333,S1367
P21333,S1476
P21333,T1557
P21333,T1558
P21333,S2617
O60664,S11
O60664,T12
O60664,T15
O60664,S43
O60664,T58
O60664,T69
O60664,S76
O60664,S83
O60664,T191
O60664,S273
O60664,S277
O60664,T281
Q93052,S11
Q93052,T12
Q93052,T25
Q93052,T26
Q93052,S28
Q93052,S33
Q93052,S35
Q93052,T175
Q93052,T198
Q93052,S209
Q93052,T211
Q93052,T212
Q14247,S11
Q14247,T240
Q14247,S277
Q14247,S322
Q14247,T323
Q14247,T328
Q14247,S331
Q14247,S332
Q14247,S345
Q14247,T401
O95391,S110
Q9Y5U2,S110
Q9Y5P4,S110
Q9Y5P4,S111
Q6ZU52,S110
Q6ZU52,S113
Q9Y2H2,S1103
Q96K76,S1103
Q96K76,S1105
Q460N5,S1104
Q8WXE0,S1106
Q9UMS0,S111
Q8N7S6,S111
O60232,S111
Q92930,S111
Q92930,S112
P12270,S111
P12270,T1266
P12270,T1275
P12270,S1318
P12270,S1660
P12270,T1661
P12270,S1662
P12270,T1666
P12270,T1672
P12270,S1676
P12270,T1677
P12270,S1679
P12270,T1682
P12270,S1691
P12270,S1804
P12270,S2063
P12270,S2176
P12270,S2187
P12270,T2330
Q9NXG0,S1113
O95863,S112
P04439,S112
Q86UD7,S112
P10321,S112
Q29980,S112
Q29980,S113
Q29980,T151
Q13506,S112
Q13506,S113
Q13506,T481
P15336,S112
P15336,S136
P15336,T226
P15336,S234
P15336,T236
P15336,S238
P15336,T283
P15336,T290
P15336,T294
P15336,T320
P15336,S321
P15336,T323
P15336,T325
P15336,S328
P15336,T332
Q96BJ8,S112
Q96BJ8,S380
Q6R327,S1121
Q6R327,S1348
Q9H3S7,S1122
Q9H3S7,T1131
Q9H3S7,S1473
Q9H3S7,S1496
P01133,S1125
Q9Y2A7,S1126
P62807,S113
Q16778,S113
P55344,S113
P55344,S119
Q9BPZ7,S113
Q9BPZ7,S116
Q9HCK8,S113
Q9HCK8,S117
Q9HCK8,S123
Q9HCK8,T171
Q9HCK8,T184
Q9HCK8,S256
Q9HCK8,S2519
Q9HCK8,T2522
Q9HCK8,T2523
O14513,S113
O14513,S1328
O14513,S1351
O14513,S1354
O14513,S1376
Q7LFL8,S113
Q7LFL8,S134
Q9UQR1,S113
Q9UQR1,S496
Q9UQR1,T501
Q9UQR1,S559
Q9UQR1,S572
Q9UQR1,T636
Q9UQR1,S644
Q9UQR1,S749
O14976,S1130
Q07889,S1132
Q02952,S1132
Q02952,S1133
Q02952,T1440
Q02952,T1443
P0DMU3,S114
O75143,S114
Q9NYP9,S114
Q9NYP9,S118
Q9BY49,S114
Q9BY49,S120
Q9BY49,S184
O00571,S114
O00571,T204
O00571,S584
O00571,S588
O00571,S611
O00571,S616
Q9BZC7,S1141
P98198,S1143
P98198,S1151
P98198,S1162
Q9NSV4,S1145
P35580,S1145
P35580,S1750
P24844,S115
P60880,S115
P82979,S115
P82979,S118
P82979,T185
P82979,S186
P82979,S187
Q96TA2,S115
Q96TA2,S161
Q96TA2,S222
Q96TA2,T566
Q9UBG0,S1159
Q7Z7H5,S116
Q7Z7H5,S118
Q7Z7H5,T119
P52735,S116
P52735,S119
Q9UGL1,S116
Q9UGL1,T117
Q6UVK1,S1160
P21108,S117
P49448,S117
Q8TF74,S117
Q8TF74,S118
Q8TF74,S128
Q8TF74,S131
Q8TF74,S301
P42858,S1177
P42858,S1347
P42858,S1348
P42858,S1789
P42858,T1796
P42858,S2382
P42858,T2389
P59510,S1178
Q9NPG4,S1179
Q9NPG4,S1180
Q9NPG4,S1181
Q86U44,S118
Q7Z553,S118
Q9UMQ3,S118
Q96IK1,S118
P01011,S118
P01011,S136
Q63HQ2,S118
Q63HQ2,S537
Q63HQ2,S798
Q86Y37,S118
Q86Y37,T119
Q15878,S1180
P55268,S1181
P55268,T1250
Q96K83,S1185
P82987,S1187
P82987,S1189
Q8WYP5,S1188
Q8WYP5,T1345
Q8WYP5,S1847
Q8WYP5,S1900
Q8WYP5,S2060
M0QZ24,S119
Q96EF0,S119
Q8IXM2,S119
Q92993,S119
P12034,S119
P12034,S127
P22061,S119
P22061,S202
Q9NYF8,S119
Q9NYF8,S268
Q9NYF8,T333
Q9NYF8,T489
Q9NYF8,T494
Q9NYF8,S502
Q9NYF8,T825
Q14651,S119
Q14651,S358
Q14651,S576
Q5XPI4,S119
Q5XPI4,T470
Q5XPI4,S610
Q5XPI4,T805
Q5XPI4,T1123
Q5XPI4,S1166
Q5XPI4,T1172
Q5XPI4,S1173
Q5XPI4,S1185
Q9UMN6,S1191
Q9UMN6,S1195
Q9UMN6,S2050
Q9UMN6,S2611
Q3T8J9,S1197
P08729,S12
Q9ULC4,S12
Q8WX92,S12
Q07666,S12
Q07666,S15
Q07666,S18
Q07666,S20
Q07666,S24
Q07666,T183
Q07666,S202
Q07666,T317
Q07666,T324
Q07666,T330
Q07666,S422
Q15058,S12
Q15058,S42
Q15058,S223
Q15058,S1636
O43399,S12
O43399,S96
O43399,S103
O43399,S104
O43399,T121
O43399,S134
O43399,S191
P36578,S12
P36578,T23
P07093,S120
P08047,S120
P08047,S126
P08047,T128
P08047,S134
P08047,T254
P08047,T265
P08047,S271
P08047,S273
P08047,T276
P08047,S312
P08047,T394
P08047,S421
P08047,T424
P08047,S446
P08047,T453
P08047,T455
P08047,S491
P08047,S507
P08047,S510
P08047,T517
P08047,S612
P08047,T640
P08047,S641
P08047,S698
P08047,S702
P40939,S120
P40939,S501
O60828,S120
O60828,T233
O43314,S1209
P61019,S121
P35348,S121
Q6IQ23,S121
Q6NS38,S121
Q6NS38,S123
Q6NS38,S130
O43660,S121
O43660,S146
P35232,S121
P35232,T141
P35232,T258
Q16769,S121
Q16769,T158
Q16769,S160
Q9UL54,S1210
Q96QE3,S1214
P13797,S122
Q99729,S122
Q8N9U9,S122
Q9Y5C1,S122
Q9NQ90,S122
Q9NQ90,S127
Q9NQ90,T131
P22392,S122
P22392,S185
Q6EMB2,S1221
Q01118,S1229
Q9Y2G4,S123
Q15742,S123
O96019,S123
P62979,S123
Q15334,S123
P35968,S1231
P35968,S1235
P15924,S1232
P15924,T1399
P15924,S2792
Q99570,S1233
Q99570,S1238
Q99570,S1241
Q99570,S1248
P50851,S1233
P50851,S1335
P50851,S2518
P50851,T2540
Q9Y4F5,S1235
I3L521,S124
Q5BKX5,S124
P46977,S124
P46977,T539
P46977,T546
P46977,T550
P46977,S553
P15531,S125
Q96GW7,S125
Q5T6J7,S125
Q6Y288,S125
Q96QE5,S125
Q08AI6,S125
Q08AI6,S128
H7BZ55,S125
H7BZ55,S198
Q7KZ85,S125
Q7KZ85,T1523
Q7KZ85,S1525
Q7KZ85,S1526
Q7KZ85,S1527
Q7KZ85,S1528
Q7KZ85,T1532
Q7KZ85,S1535
Q7KZ85,T1539
Q6P2Q9,S1251
Q14203,S1251
Q96E29,S126
Q9NW64,S126
Q9BVA1,S126
Q9Y580,S126
P04350,S126
P28347,S126
P28347,S127
P28347,S132
P31749,S126
P31749,S129
P31749,T305
P31749,T308
P31749,T312
P31749,S473
O43159,S126
O43159,S174
O43159,S223
Q9NZM3,S126
Q9NZM3,T138
Q9NZM3,S139
Q9NZM3,S183
Q9NZM3,S184
Q9NZM3,S185
Q9NZM3,T186
Q9NZM3,S191
Q9NZM3,S192
Q9NZM3,S210
Q9NZM3,S216
Q9NZM3,T220
Q9NZM3,S222
Q9NZM3,S230
O15090,S1266
Q9Y4W2,S127
Q16543,S127
Q5H9F3,S127
Q5H9F3,S135
Q5H9F3,T641
Q5H9F3,T652
Q5H9F3,T824
Q5H9F3,S834
Q5H9F3,S855
P49406,S127
P49406,S186
Q9HBL0,S1271
Q9HBL0,S1441
Q9NYF3,S128
P07942,S1280
P48634,S1282
P48634,S1619
P48634,T1786
P48634,S1788
P48634,T1790
P48634,S1796
P48634,T2093
O95382,S1286
Q3V5L5,S129
Q96NB3,S129
Q9NW75,S129
Q6KC79,S129
Q6KC79,S136
Q6KC79,S140
Q6KC79,T146
Q6KC79,S148
Q6KC79,T160
Q6KC79,S161
Q6KC79,S162
Q6KC79,S208
Q6KC79,S280
Q6KC79,S284
Q6KC79,S355
Q6KC79,T356
Q6KC79,S1152
Q6KC79,S1443
O43613,S129
O43613,S138
Q86TB3,S1291
Q9NRD8,S1299
P78417,S13
P08559,S13
A6NIH7,S13
Q9Y227,S13
O14543,S13
Q01664,S13
P05787,S13
P05787,S15
P05787,S34
P05787,S36
P05787,S37
P05787,S39
P05787,S58
P05787,S74
P05787,S475
P05787,S477
Q96RK0,S13
Q96RK0,S16
Q96RK0,S530
Q96RK0,S534
Q96RK0,S535
Q96RK0,S541
Q96RK0,S542
Q96RK0,S543
Q96RK0,S566
Q96RK0,T583
Q96RK0,S649
Q96RK0,S665
Q96RK0,S734
Q96RK0,T738
Q96RK0,T752
Q96RK0,T831
Q96RK0,T880
Q96RK0,S891
Q96RK0,T967
Q96RK0,S972
Q96RK0,T973
Q96RK0,S975
Q96RK0,S982
Q96RK0,T985
Q96RK0,S991
Q96RK0,S1001
Q96RK0,T1002
Q96RK0,T1143
Q96RK0,T1149
Q96RK0,S1154
Q15428,S13
Q15428,S18
Q15397,S13
Q15397,T386
P09758,S130
Q9Y259,S130
Q16633,S130
Q17RY6,S130
Q02446,S130
Q02446,S160
Q02446,T173
Q02446,T184
Q02446,S186
Q02446,S187
Q02446,S188
Q02446,T495
Q02446,T497
Q02446,S500
Q02446,S501
Q02446,S502
Q02446,T505
Q02446,T506
Q02446,S529
Q02446,T535
Q02446,S537
Q02446,T574
Q02446,T579
Q02446,T589
Q02446,T599
Q02446,S610
Q9NS91,S130
Q9NS91,S164
Q9NS91,T468
P00915,S130
P00915,S218
P15941,S130
P15941,T131
P15941,T139
P15941,T239
P15941,T279
Q9BYJ9,S130
Q9BYJ9,T152
Q9BYJ9,S156
Q9BYJ9,S157
Q9BYJ9,T161
Q9BYJ9,T173
Q9BYJ9,S196
Q9BYJ9,S197
Q9BYJ9,S198
Q9BYJ9,T202
Q9BYJ9,S205
Q9BYJ9,S208
Q9BYJ9,S209
Q9BYJ9,T213
Q9BYJ9,T232
Q9NRD9,S1302
O60333,S1304
O60333,S1432
Q96GW9,S131
O60259,S131
Q9H7P9,S1314
Q96Q04,S1316
P15151,S132
Q00587,S132
P83876,S132
Q11206,S132
Q9UHQ9,S132
Q9UHQ9,S137
Q96CP2,S133
P43694,S133
P43694,S134
O00268,S133
O00268,S136
O00268,T409
O00268,S411
O00268,S413
O00268,S528
O00268,T532
O00268,T533
O00268,S537
O00268,T539
O00268,S543
O00268,T558
O00268,S560
O00268,T712
O00268,T714
O00268,S723
O00268,T725
O00268,T728
Q14814,S133
Q14814,T134
Q14814,T145
Q14814,S149
Q14814,S153
Q14814,S157
Q14814,S160
Q14814,S162
Q14814,T165
Q14814,S251
Q14814,T256
Q14814,S258
Q14814,T259
Q14814,S265
Q14814,T274
Q14814,S275
Q14814,S345
Q14814,S411
Q08117,S133
Q08117,T143
Q08117,S153
Q08117,S158
Q08117,T161
Q08117,S171
Q08117,S176
Q15393,S133
Q15393,T237
P40189,S133
P40189,T555
Q9NZN5,S1331
P19075,S134
Q96N46,S134
Q96N46,S135
Q96JY6,S134
Q96JY6,S137
Q96JY6,S141
Q96JY6,S142
Q96JY6,S143
Q96JY6,S144
Q96JY6,T146
Q96JY6,S152
Q96JY6,S171
Q96JY6,S173
Q8IYD8,S1342
Q8IYD8,S1829
Q5JPF3,S1346
P35749,S1347
P48200,S135
O00165,S135
Q9P2E9,S135
P32243,S135
P32243,S136
P32243,T137
Q5SW79,S135
Q5SW79,S138
Q5SW79,T628
Q5SW79,T870
Q5SW79,S1165
Q5SW79,S1334
P13667,S135
P13667,T254
P13667,S371
O95881,S136
Q9Y2C2,S136
Q9Y2C2,S157
Q13625,S136
Q13625,S328
Q13625,S329
Q13625,S339
Q13625,S342
Q13625,S608
Q9NRC8,S136
Q9NRC8,S342
Q9NRC8,T345
Q70EL1,S1369
Q70EL1,T1371
Q70EL1,S1372
Q70EL1,T1388
Q70EL1,T1392
Q70EL1,T1422
Q96BK5,S137
Q9H4F1,S137
O15466,S137
Q9NZH7,S137
Q9NZH7,S138
P30533,S137
P30533,S139
P30533,S346
P32929,S138
Q6N022,S138
P43365,S138
P10155,S138
P52594,S138
P52594,S142
P52594,S144
P52594,S147
P52594,S149
P52594,T151
P52594,T154
P52594,S162
P52594,S291
P52594,S292
P52594,S293
P52594,T298
P52594,T301
P52594,S302
P52594,S304
P52594,S309
P52594,S312
P52594,T351
P52594,S359
P52594,S362
P52594,S365
P52594,S367
P52594,S368
P52594,S370
P52594,S371
P52594,S385
P52594,T389
P52594,S391
P52594,T395
P52594,S396
P52594,S398
P52594,S401
P52594,S402
P52594,T407
P52594,S421
P52594,S446
P52594,T448
P52594,S481
P52594,S489
Q96P69,S138
Q96P69,S145
Q8WVM8,S138
Q8WVM8,T141
Q8WVM8,S504
Q9Y5A9,S138
Q9Y5A9,T197
Q9Y5A9,S215
Q9Y5A9,S225
Q9Y5A9,T230
Q9Y5A9,S238
Q9Y5A9,S263
Q9Y5A9,S448
Q8IZH2,S1387
Q8IZH2,T1629
Q8IZH2,S1634
Q8IZH2,S1702
P23284,S139
Q96RY5,S139
Q92793,S139
Q92793,S141
Q92793,T144
Q92793,S148
Q92793,S202
Q92793,S212
Q92793,T228
Q92793,S235
Q92793,S236
Q92793,T242
Q92793,T244
Q92793,S281
Q92793,T309
Q92793,T312
Q92793,S326
Q92793,T330
Q92793,S2322
Q92793,S2328
Q92793,T2337
Q92793,S2338
Q92793,S2356
Q92793,S2361
Q92793,S2364
P47902,S139
P47902,S148
Q6IBS0,S139
Q6IBS0,S149
P31948,S139
P31948,T143
P31948,T243
Q8NHL6,S14
Q8IYW2,S14
Q96EZ8,S14
Q96EZ8,S18
Q8N183,S14
Q8N183,S144
Q13303,S14
Q13303,S26
Q15005,S14
Q15005,S33
Q9Y210,S14
Q9Y210,T70
Q9Y210,T221
Q9H6H4,S140
Q9H1Z4,S140
Q15056,S140
Q15056,S141
Q15056,T217
Q8TAT5,S140
Q8TAT5,S560
Q8TAT5,T561
Q9NTI5,S140
Q9NTI5,T518
Q5T1H1,S1408
Q9UQ26,S1409
Q04837,S141
Q9NQS3,S141
Q13620,S141
Q13620,S143
Q13620,S145
Q13620,T148
Q13620,T151
Q13620,S152
Q13620,S166
Q13620,S231
Q13620,S746
Q13620,T750
Q8IY57,S141
Q8IY57,S149
Q7Z5L9,S141
Q7Z5L9,T147
Q7Z5L9,S212
Q7Z5L9,S217
Q7Z5L9,T219
Q7Z5L9,S223
Q7Z5L9,S226
Q7Z5L9,T230
Q7Z5L9,S240
Q7Z5L9,S242
Q7Z5L9,S381
Q7Z5L9,T382
Q7Z5L9,S383
Q7Z5L9,T392
Q7Z5L9,S395
Q8NBK3,S142
Q14657,S142
P22087,S142
Q7Z3J2,S142
P10253,S142
P10253,S144
P10253,T149
P10253,T151
P10253,T153
P10253,S447
P10253,T884
O95292,S142
O95292,T143
O95292,S154
O95292,T201
Q8WVJ2,S142
Q8WVJ2,T146
Q9Y4B5,S142
Q9Y4B5,T187
Q9Y4B5,T663
Q9Y4B5,S745
Q9Y4B5,S1588
Q9Y4B5,T1675
Q12841,S143
P15498,S143
Q6PF06,S143
Q8NA58,S143
O95983,S144
Q96DX4,S144
Q9UPS6,S1440
Q8IZT6,S1441
Q8IZT6,T1863
Q8IZT6,T2267
P39060,S1443
Q99594,S145
Q99594,S156
Q99594,T157
P18754,S145
P18754,S336
Q01196,S145
Q01196,T230
Q01196,S238
Q01196,S295
Q01196,T296
Q01196,T301
Q01196,S361
Q01196,S362
Q9P2J5,S145
Q9P2J5,T238
Q9P2J5,S363
Q9P2J5,S974
Q9P2J5,S978
Q9P2J5,S1042
Q9P2J5,S1153
Q969V6,S146
Q969V6,S295
Q969V6,T465
Q969V6,T475
Q6DT37,S1462
Q8TEU7,S1463
Q8TEU7,S1556
Q9HBM6,S147
Q9HBM6,S152
Q9HBM6,S153
Q9HBM6,T156
Q9HBM6,T157
Q9HBM6,T159
Q9HBM6,T162
Q9HBM6,T165
Q9HBM6,S167
Q9HBM6,S177
Q9UIQ6,S147
Q9UIQ6,T156
Q15233,S147
Q15233,T440
Q6T4R5,S1479
Q9BRN9,S148
P13056,S148
P13056,S581
Q6PKG0,S148
Q6PKG0,S584
Q6PKG0,S672
Q6PKG0,S766
Q6PKG0,T769
Q6PKG0,T770
Q6PKG0,T809
Q3LI81,S148
Q3LI81,T153
Q15398,S148
Q15398,T164
P16144,S1483
P16144,T1484
P16144,S1485
P16144,S1486
Q9Y3E1,S149
P04637,S149
Q6UX68,S149
Q6UX68,S151
Q6UX68,S152
Q6UX68,S154
Q7Z739,S149
Q7Z739,S160
Q7Z739,S161
Q7Z739,T167
Q7Z739,T201
Q7Z739,T205
Q7Z739,T207
Q7Z739,T210
Q7Z739,S213
Q7Z739,S214
Q7Z739,T222
Q7Z739,S224
Q7Z739,S229
Q7Z739,S230
Q7Z739,T236
Q7Z739,S383
Q8NEM8,S149
Q8NEM8,T360
P27694,S149
P27694,T590
Q9C0A1,S1490
Q9P2F8,S1491
Q9P219,S1496
Q9P219,T1519
Q9P219,S1521
Q9P219,T1522
Q9P219,S1523
Q9P219,T1525
Q9P219,S1791
P49005,S15
Q9HD33,S15
Q9H598,S15
P01860,S15
Q9NQC3,S15
Q9NQC3,S181
Q9NQC3,S182
Q9NQC3,S184
Q9NQC3,T813
P01861,S15
P01861,S74
P01861,S75
P01861,S90
P01861,S100
Q8IZD2,S15
Q8IZD2,T100
Q8IZD2,S185
Q8IZD2,T189
Q8IZD2,S252
Q8IZD2,S258
Q8IZD2,S435
Q8IZD2,T440
Q8IZD2,S475
Q8IZD2,S531
Q8IZD2,S536
Q8IZD2,S538
Q8IZD2,T1001
Q8IZD2,S1002
Q9BXF6,S150
Q8WV99,S150
Q96GQ7,S150
Q96GQ7,T242
O43149,S1509
O43149,T1512
Q8N4J0,S151
O15118,S151
Q6JBY9,S151
Q6JBY9,S211
Q6JBY9,T230
P29350,S151
P29350,S250
P29350,T350
E9PCH4,S1513
P12259,S1516
P26715,S152
Q15631,S152
Q96EZ4,S152
Q14679,S152
Q9Y450,S152
Q9Y450,S154
Q9Y450,S299
Q9Y450,S350
Q9Y450,S355
O76031,S152
O76031,S463
Q12894,S152
Q12894,T155
Q12873,S1528
Q9BXN2,S153
P50993,S153
Q9Y3F4,S153
Q9NY33,S153
O95222,S153
P16284,S153
P78413,S153
Q16548,S153
P49790,S153
P49790,S164
P49790,S199
P49790,S219
P49790,T222
P49790,T224
P49790,S305
P49790,S330
P49790,S374
P49790,S459
P49790,S476
P49790,T480
P49790,S481
P49790,S482
P49790,S483
P49790,T486
P49790,S490
P49790,S491
P49790,T495
P49790,T496
P49790,S497
P49790,S498
P49790,S500
P49790,S504
P49790,S505
P49790,T509
P49790,T515
P49790,S516
P49790,S519
P49790,T520
P49790,S528
P49790,S534
P49790,T535
P49790,S543
P49790,S544
P49790,T548
P49790,S550
P49790,T556
P49790,S560
P49790,T565
P49790,S572
P49790,T578
P49790,S614
P49790,S619
P49790,S624
P49790,T630
P49790,T632
P49790,S633
P49790,T638
P49790,S643
P49790,S644
P49790,S647
P49790,S711
P49790,T761
P49790,S836
P49790,T890
P49790,S891
P49790,S892
P49790,S893
P49790,S894
P49790,S895
P49790,S897
P49790,S900
P49790,S901
P49790,S902
P49790,S908
P49790,S909
P49790,S910
P49790,S911
P49790,S912
P49790,S915
P49790,T917
P49790,T919
P49790,S920
P49790,T921
P49790,S937
P49790,S938
P49790,S940
P49790,S942
P49790,S947
P49790,S964
P49790,S965
P49790,S967
P49790,S1003
P49790,S1017
P49790,S1018
P49790,S1019
P49790,S1023
P49790,T1026
P49790,S1031
P49790,T1032
P49790,T1038
P49790,T1041
P49790,S1042
P49790,S1046
P49790,S1047
P49790,T1055
P49790,S1057
P49790,T1064
P49790,S1068
P49790,T1078
P49790,S1091
P49790,T1103
P49790,T1112
P49790,S1113
P49790,T1114
P49790,S1115
P49790,S1134
P49790,S1138
P49790,T1141
P49790,S1149
P49790,S1154
P49790,T1156
P49790,S1159
P49790,T1170
P49790,T1177
P49790,S1178
P49790,T1179
P49790,T1180
P49790,S1196
P49790,T1225
P49790,S1231
P49790,S1232
P49790,S1236
P49790,S1237
P49790,S1238
P49790,S1249
P49790,S1255
P49790,T1262
P49790,T1263
P49790,S1264
P49790,S1265
P49790,T1266
P49790,T1268
P49790,T1271
P49790,S1280
P49790,S1287
P49790,S1385
P49790,T1387
P49790,T1388
P49790,S1391
P49790,S1392
P49790,S1456
P49790,S1457
Q13887,S153
Q13887,T159
Q03692,S153
Q03692,T164
Q03692,T211
Q03692,S214
Q03692,T489
Q03692,S501
P78363,S1531
P24928,S1534
P24928,S1619
P24928,S1621
Q8IVG5,S1535
P23515,S154
Q99613,S154
P62917,S154
Q9Y6R9,S154
Q9Y6R9,S300
P61978,S154
P61978,S379
P61978,S417
P13942,S1546
P13942,S1549
O14764,S155
P56715,S155
Q9NY61,S155
P48556,S155
Q9NYL9,S155
P32969,S155
Q9UBP9,S155
P38571,S155
O75420,S155
O75420,S634
Q13813,S1550
Q70Z35,S1551
P20340,S156
O60381,S156
